x,y
1.012999871640491961e+03,9.422552582875197231e+02
1.011970348259481170e+03,9.351482882784335970e+02
1.006771117533913298e+03,9.297684676025896806e+02
1.004999373701259287e+03,9.229689353708456565e+02
1.004996567877549296e+03,9.154366850247981802e+02
1.002944620616917064e+03,9.087532168531471370e+02
1.000995438703335140e+03,9.020271818810041395e+02
9.990611038362242198e+02,8.952949970608523245e+02
9.967624018022444261e+02,8.887137380628995516e+02
9.921267838033986664e+02,8.831004613517222879e+02
9.890019234962594510e+02,8.768614083151795739e+02
9.890007833810780085e+02,8.693284680100698552e+02
9.875314887986648955e+02,8.624036571969480747e+02
9.821120109648978769e+02,8.571150658603908141e+02
9.767791616141824989e+02,8.517905918312703761e+02
9.720068279933752819e+02,8.462339445848971309e+02
9.696930508901018584e+02,8.396589298851015428e+02
9.671441575345896808e+02,8.331813035257146112e+02
9.649354424583306127e+02,8.265627707094390644e+02
9.621778336862403194e+02,8.201715971062783410e+02
9.590504816091578277e+02,8.139335761946396133e+02
9.559956594960106031e+02,8.076655123882617318e+02
9.511379132580555051e+02,8.021442442063078033e+02
9.469479370563298062e+02,7.963463766188041291e+02
9.450578374299019515e+02,7.895958689620259747e+02
9.429455758927819033e+02,7.829373837816991681e+02
9.404317619280163854e+02,7.764452270629068380e+02
9.379863595601493671e+02,7.699247333328565901e+02
9.359632870080135945e+02,7.632293048653341430e+02
9.340648586587183217e+02,7.564822470785261430e+02
9.312024000858235695e+02,7.501345036848692871e+02
9.258255495267269453e+02,7.448282555530196305e+02
9.205210306054176499e+02,7.394920466758098883e+02
9.158663311906373110e+02,7.338866737459007936e+02
9.133637132678099988e+02,7.273898794760931423e+02
9.109635846959494074e+02,7.208506324510145760e+02
9.089800382867961162e+02,7.141388127151902836e+02
9.045980018522263890e+02,7.096383677805398520e+02
8.974889427888959972e+02,7.085594140158534628e+02
8.921889883936130445e+02,7.031672439377218780e+02
8.855866451557087657e+02,7.007998113917716410e+02
8.832688909241537658e+02,6.940939794725901493e+02
8.761492682960930551e+02,6.929872950411702277e+02
8.701185153418222171e+02,6.892344506106359177e+02
8.690183083351969344e+02,6.821400503642483955e+02
8.646082311360377162e+02,6.776151772886522622e+02
8.573252875994561464e+02,6.769970938902446278e+02
8.500945980554881771e+02,6.761933371778129640e+02
8.470400053661924176e+02,6.698967811470055267e+02
8.439893378767541208e+02,6.636356888738100679e+02
8.383348232450266551e+02,6.599931664431420586e+02
8.320624784845023214e+02,6.569482992849860921e+02
8.261252578734787448e+02,6.530947513524703254e+02
8.207933209921392290e+02,6.477799189236600341e+02
8.144104512664124513e+02,6.450022326758963800e+02
8.068782664879836375e+02,6.449992382492209799e+02
7.993443507302971511e+02,6.450005234874116695e+02
7.918112305611308557e+02,6.449999191724306229e+02
7.842778108333653790e+02,6.449997762890430977e+02
7.767442707458559426e+02,6.449999604991622846e+02
7.692108668175587809e+02,6.450001861975902102e+02
7.616776038521994678e+02,6.450001070528230684e+02
7.541438595498034374e+02,6.449994249165689553e+02
