x_dense,y_spline,y_bptt
324.9999999999997,1000.070545231477,954.2521254785347
326.8338338338335,992.3302165689698,949.3864883635144
328.6676676676674,984.6996966417634,944.5574721102757
330.5015015015012,977.1771419464452,939.7649341385704
332.33533533533506,969.7607089796012,935.0087321571755
334.16916916916887,962.4485542378093,930.2887241636276
336.00300300300273,955.238834217696,925.6047684439616
337.83683683683654,948.1297054176877,920.9567235724446
339.67067067067035,941.1193243651701,916.3444484113118
341.5045045045042,934.2058479351778,911.7678021105039
343.338338338338,927.3874361506844,907.2266441074021
345.1721721721719,920.6622652878075,902.7208341265627
347.0060060060057,914.0284203545975,898.2502321794559
348.83983983983956,907.4804886820141,893.8146985641995
350.67367367367336,900.9100711019369,889.4140938652959
352.50750750750717,894.7006213393167,885.0482789533667
354.34134134134104,888.5865986771523,880.71711498489
356.17517517517484,882.4809792790763,876.4204634019368
358.0090090090087,876.3066923808873,872.1581859319047
359.8428428428425,870.0324900380024,867.9301445872559
361.6766766766764,863.703677821677,863.7362016652512
363.5105105105102,857.3783816012009,859.5762197476884
365.344344344344,851.1071730231438,855.4500617006363
367.17817817817786,844.9326858958239,851.357590674171
369.01201201201167,838.9185828963502,847.2986701021123
370.84584584584553,833.2017419948705,843.2731637017582
372.67967967967934,827.7273274957956,839.2809354736246
374.5135135135132,822.2807807484152,835.3218497011758
376.347347347347,816.8656336270124,831.3957709505644
378.1811811811809,811.5998064021669,827.5025640703659
380.0150150150147,806.5302465599669,823.6420941913148
381.84884884884855,801.7563912042511,819.8142267260398
383.68268268268235,797.3159989852331,816.0188273688013
385.51651651651616,793.2478360855683,812.2557620952261
387.35035035035,789.5866763479779,808.5248971620431
389.18418418418383,786.2759594282282,804.8260991068198
391.01801801801764,782.9180029468289,801.159234747699
392.8518518518515,779.3771966170974,797.5241711831329
394.68568568568537,775.8450998767939,793.9207757916204
396.5195195195192,772.3704471508133,790.3489162314424
398.353353353353,769.0313404346853,786.8084604403982
400.18718718718685,765.8651921558395,783.2992766355414
402.02102102102066,762.9126955975731,779.8212333129147
403.8548548548545,759.4440873222961,776.3741992472876
405.68868868868833,755.8581752250433,772.9580434918905
407.5225225225222,752.1572985612418,769.572635378152
409.356356356356,748.5254923052138,766.2178445154345
411.1901901901898,745.139875574043,762.8935407907695
413.0240240240237,741.952107035,759.5995943685948
414.8578578578575,738.8322441342139,756.3358756904888
416.69169169169135,735.8098353067402,753.1022554749075
418.52552552552515,732.9472636277582,749.8986047169203
420.359359359359,730.2552365374709,746.7247946879459
422.1931931931928,727.5833999687649,743.5806969354865
424.02702702702663,724.9193592133668,740.4661832828679
425.8608608608605,722.3164854210668,737.3811258289711
427.6946946946943,719.6729217908086,734.3253969479704
429.52852852852817,717.0119807256993,731.2988692890692
431.362362362362,714.3512502221854,728.3014157762345
433.19619619619584,711.7057264689582,725.3329096079353
435.03003003002965,709.1837728379908,722.393224256876
436.86386386386346,706.7740068683529,719.4822334697342
438.6976976976973,704.3710471208881,716.5998112668956
440.53153153153113,701.9318642187383,713.7458319421899
442.365365365365,699.4435394287655,710.9201700626279
444.1991991991988,696.8918576657846,708.1227004681355
446.03303303303267,694.3857346467809,705.3532982712904
447.8668668668665,691.9971002297438,702.6118388570601
449.7007007007003,689.6964583456747,699.8981978825345
451.53453453453415,687.3665113006417,697.2122512766632
453.368368368368,685.0363599805173,694.5538752399925
455.2022022022018,682.7483043728862,691.9229462443993
457.0360360360356,680.5199808730339,689.3193410328288
458.8698698698695,678.4323930881403,686.7429366190295
460.7037037037033,676.3827621111624,684.1936102872892
462.5375375375371,674.4209567550196,681.6712395921713
464.37137137137097,672.5600857924079,679.17570235825
466.20520520520483,670.7403655909875,676.706876679847
468.03903903903864,668.9042763258724,674.2646409207678
469.87287287287245,667.0363685367722,671.8488737140353
471.7067067067063,665.1088645349797,669.4594539616282
473.5405405405401,663.1144041196545,667.0962608342163
475.37437437437393,661.0009636973531,664.7591737708958
477.2082082082078,658.8088339823506,662.448072478926
479.04204204204166,656.6174383042235,660.162836933464
480.87587587587547,654.4849329019717,657.9033473773022
482.7097097097093,652.4441339603766,655.6694843206037
484.54354354354314,650.4952039811919,653.4611285406363
486.37737737737694,648.5621336647132,651.2781610815123
488.21121121121075,646.6112624401081,649.1204632539211
490.0450450450446,644.7049790819382,646.987916634866
491.8788788788785,642.8554399349514,644.8804030674007
493.7127127127123,641.0631587457012,642.797804660365
495.5465465465461,639.3299112539022,640.7400037881207
497.38038038037996,637.596766019394,638.7068830902865
499.21421421421377,635.7469202203861,636.6983254714764
501.0480480480476,633.7864888387171,634.7142141010322
502.88188188188144,631.8474772980511,632.7544324127632
504.7157157157153,629.9769869586204,630.8188641046786
506.5495495495491,628.1871867903391,628.9073931387259
508.3833833833829,626.5588538640842,627.0199037405257
510.2172172172168,625.0836715852284,625.1562803991078
512.0510510510505,623.8357895668959,623.3164078666475
513.8848848848844,622.5385453323452,621.5001711582006
515.7187187187183,621.1411332351149,619.7074555514403
