x_spline,y_spline,x_bptt,y_bptt
-0.040274193548387106,-0.009285714285714279,-0.04100544093095479,-0.0062483477141731525
-0.04021362872638667,-0.009186806889705523,-0.040908486090080506,-0.006303893654046958
-0.040152775294838294,-0.009088123419687753,-0.04081255867232046,-0.006356343881793899
-0.04009164735687585,-0.008989652549783234,-0.0407176474342164,-0.00640572839123451
-0.04003025901563316,-0.008891382954114232,-0.04062374119286321,-0.006452077041293916
-0.039968624374244074,-0.008793303306803007,-0.040530828825781,-0.006495419556255882
-0.03990675753584244,-0.008695402281971827,-0.040438899270787185,-0.006535785526016883
-0.03984467260356211,-0.008597668553742954,-0.040347941525868555,-0.006573204406340159
-0.039782383680536916,-0.008500090796238655,-0.04025794464905332,-0.006607705519109769
-0.03971990486990071,-0.008402657683581194,-0.04016889775828321,-0.006639318052584662
-0.03965725027478734,-0.008305357889892834,-0.04008079003128551,-0.006668071061652726
-0.039594433998330646,-0.008208180089295839,-0.039993610705445146,-0.006693993468084852
-0.039531470143664475,-0.008111112955912476,-0.03990734907767677,-0.006717114060788992
-0.039468372813922674,-0.008014145163865007,-0.03982199450429681,-0.00673746149606422
-0.03940515611223908,-0.007917265387275699,-0.03973753640089553,-0.006755064297854791
-0.03934183414174756,-0.007820462300266813,-0.03965396424220911,-0.0067699508580041975
-0.03927842100558194,-0.007723724576960615,-0.039571267561991724,-0.006782149436509233
-0.03921493080687607,-0.007627040891479371,-0.039489435952887605,-0.006791688161774047
-0.0391513776487638,-0.007530399917945344,-0.0394084590663031,-0.00679859503086421
-0.039087775634378964,-0.007433790330480796,-0.03932832661227874,-0.006802897909760766
-0.03902413886685542,-0.007337200803207997,-0.039249028359361324,-0.006804624533614299
-0.038960481449327,-0.007240620010249207,-0.03917055413447599,-0.0068038025069989865
-0.03889681748492757,-0.007144036625726691,-0.03909289382279825,-0.006800459304166662
-0.038833161076790954,-0.007047439323762715,-0.03901603736762611,-0.006794622269300873
-0.03876952632805101,-0.006950816778479543,-0.03893997477025209,-0.006786318616770941
-0.03870592734184157,-0.006854157663999438,-0.03886469608983532,-0.006775575431386022
-0.03864237822129649,-0.006757450654444666,-0.03879019144327361,-0.006762419668649163
-0.038578893069549626,-0.00666068442393749,-0.038716451005075495,-0.0067468781550113635
-0.038515485989734796,-0.006563847646600176,-0.03864346500723234,-0.006728977588125635
-0.03845217108498587,-0.006466928996554987,-0.03857122373909038,-0.006708744537101057
-0.03838896245843668,-0.006369917147924189,-0.038499717547222805,-0.006686205442756844
-0.03832587421322108,-0.006272800774830044,-0.0384289368353018,-0.006661386617876395
-0.038262920452472905,-0.006175568551394819,-0.03835887206397065,-0.006634314247461362
-0.038200115279326013,-0.006078209151740776,-0.03828951375071581,-0.0066050143889857015
-0.038137472796914235,-0.005980711249990183,-0.03822085246973893,-0.006573512972649739
-0.038075007108371424,-0.0058830635202653,-0.03815287885182897,-0.006539835801634227
-0.03801273231683142,-0.005785254636688395,-0.03808558358423424,-0.006504008552354405
-0.03795066268327971,-0.0056872732344336345,-0.03801895741053449,-0.0064660567747140555
-0.037888827501151565,-0.005589104239588833,-0.037952991130512946,-0.0064260058923595684
-0.037827283292993646,-0.0054907258597676825,-0.03788767560002844,-0.006383881202933997
-0.03776608945181579,-0.005392115594329661,-0.0378230017308874,-0.006339707878331119
-0.03770530537062784,-0.005293250942634243,-0.03775896049071598,-0.006293510964949494
