x_dense,y_spline
325.0,1002.4556855156184
326.8338338338338,997.7221598381329
328.6676676676677,992.5801169194518
330.5015015015015,987.0692305966318
332.33533533533534,981.2291747067283
334.16916916916915,975.0996230867958
336.003003003003,968.7202495738992
337.8368368368368,962.1307280055127
339.6706706706707,955.370732225683
341.5045045045045,948.4799361573681
343.33833833833836,941.4980144380584
345.17217217217217,934.4646453944528
347.00600600600603,927.4194866368332
348.83983983983984,920.401401857776
350.67367367367365,913.4770795972461
352.5075075075075,907.0671561747648
354.3413413413413,901.6891892592604
356.1751751751752,896.5621464264789
358.009009009009,888.9201789305434
359.84284284284286,882.3226159719094
361.67667667667666,875.8504822850306
363.5105105105105,870.9996042645492
365.34434434434434,865.1106047764424
367.1781781781782,860.0445396606798
369.012012012012,854.5094221607745
370.8458458458458,849.6233202599052
372.6796796796797,844.3147097632245
374.51351351351354,839.5628802902578
376.34734734734735,833.7082444786871
378.18118118118116,827.4073014207681
380.015015015015,821.8316805898551
381.84884884884883,816.7175981945503
383.6826826826827,811.7208019193798
385.5165165165165,806.8335979532626
387.35035035035037,802.7276227053616
389.1841841841842,798.0471609543625
391.018018018018,793.2031899487821
392.85185185185185,790.5028041533603
394.6856856856857,785.4439822714551
396.5195195195195,781.9208932402474
398.3533533533533,778.1398796527806
400.1871871871872,775.098373875091
402.021021021021,771.6083339225717
403.85485485485486,768.0052149520545
405.68868868868867,763.497438997869
407.52252252252254,759.1145940109525
409.35635635635634,755.8456408637444
411.1901901901902,753.3034907340277
413.024024024024,750.4050743413057
414.8578578578579,746.7795979422423
416.6916916916917,743.6311284879639
418.5255255255255,739.9613347247508
420.35935935935936,737.3782931287643
422.1931931931932,734.3587104231449
424.02702702702703,731.3607931648322
425.86086086086084,727.9901194740391
427.6946946946947,725.3259234973798
429.5285285285285,722.6007943307089
431.3623623623624,720.3779460952808
433.1961961961962,717.7130266627744
435.03003003003005,715.3811216108263
436.86386386386386,712.7860342325728
438.69769769769766,710.2054615885944
440.5315315315315,707.5330591696033
442.3653653653654,705.9119650647691
444.1991991991992,703.2897602839508
446.033033033033,700.7881890778916
447.86686686686687,698.4399027856205
449.7007007007007,696.0578009448831
451.53453453453454,692.9332039045054
453.36836836836835,690.5363788678951
455.2022022022022,688.2759397950585
457.036036036036,686.1190500985634
458.86986986986983,683.6714755513023
460.7037037037037,681.8761389551958
462.53753753753756,679.7822661706081
464.37137137137137,677.5698183354392
466.2052052052052,675.8685149433317
468.03903903903904,673.5293450482458
469.8728728728729,671.4628426919138
471.7067067067067,669.4685460964422
473.5405405405405,667.2616466159221
475.3743743743744,665.7126105406561
477.20820820820825,663.3278655073656
479.042042042042,661.4160830709587
480.87587587587586,659.6730093761682
482.7097097097097,657.707848772376
484.54354354354354,655.6602604270142
486.37737737737734,653.3612819442385
488.2112112112112,651.5937265630756
490.0450450450451,649.6550060289258
491.8788788788789,648.2155745990203
493.7127127127127,646.3021639323567
495.54654654654655,644.8291520299875
497.3803803803804,642.7786839942718
499.2142142142142,640.7378285853496
501.04804804804803,638.7959818169155
502.8818818818819,637.2503675222965
504.7157157157157,635.8062487996174
506.5495495495495,634.066460844122
508.3833833833834,632.5376659535933
510.21721721721724,631.163969124002
512.051051051051,629.6345254019689
513.8848848848849,627.750479776557
515.7187187187187,625.9318808108814
517.5525525525526,623.9301475643648
519.3863863863864,622.6506771408406
521.2202202202202,621.5485578901819
523.0540540540541,620.1002592316347
524.8878878878879,618.6106448704677
526.7217217217217,616.8388666748433
528.5555555555555,615.6570158513274
530.3893893893894,614.1392995610998
532.2232232232232,612.8809171475982
534.057057057057,611.3601274845429
535.8908908908909,610.7260343102132
537.7247247247248,609.455237863966
539.5585585585586,608.8000045904223
541.3923923923924,608.2319322225419
543.2262262262262,607.3286182431679
545.0600600600601,606.8250575737089
546.8938938938938,605.6411633738954
548.7277277277277,604.9699288662338
550.5615615615616,603.7333799268529
552.3953953953953,602.645146282721
554.2292292292292,601.470373525074
556.063063063063,600.2276524655967
557.8968968968969,598.9123795536207
559.7307307307308,597.324230499552
561.5645645645645,595.5949608749781
563.3983983983984,594.188790988693
565.2322322322323,592.8873087056977
567.066066066066,591.4366529338117
568.8998998998999,589.9616705082223
570.7337337337337,588.4463105848998
572.5675675675675,586.8811735674147
574.4014014014014,585.3894406542371
576.2352352352352,583.7231959843562
578.0690690690691,582.4826486204058
579.902902902903,581.1778829476302
581.7367367367367,580.2507238623283
583.5705705705706,579.0134880506056
585.4044044044044,578.2198296225298
587.2382382382382,577.1027833897462
589.072072072072,576.5966145175497
590.9059059059059,575.663145587242
592.7397397397397,574.96035715413
594.5735735735736,574.4645843486429
596.4074074074074,573.7426366379257
598.2412412412413,573.0092038111122
600.0750750750751,572.3463211817476
601.9089089089089,571.4492260493006
603.7427427427427,570.8416377502103
605.5765765765766,570.4519203935107
607.4104104104103,569.5823105732774
609.2442442442442,569.2990668651429
611.0780780780781,568.7504619144078
612.9119119119118,568.146982915271
614.7457457457458,567.456598385249
616.5795795795796,566.7982342151148
618.4134134134134,565.9326109810617
620.2472472472473,564.6443255988563
622.081081081081,563.7229711510745
623.9149149149149,562.5398097406398
625.7487487487488,561.1577234138232
627.5825825825825,560.1058231043742
629.4164164164165,558.8330109692306
631.2502502502502,558.0408140282167
633.084084084084,556.8035577623283
634.917917917918,556.2001434103017
636.7517517517517,555.4022503097799
638.5855855855856,554.6018808267337
640.4194194194195,553.8426444318388
642.2532532532532,553.4445810863639
644.0870870870871,552.8362904488433
645.9209209209209,552.3864458331584
647.7547547547547,551.9529519023877
649.5885885885887,551.6092136923921
651.4224224224224,551.3516024489757
653.2562562562563,551.2938691861965
655.0900900900901,551.1206613124104
656.9239239239239,550.9837459040042
658.7577577577578,551.0587574412966
660.5915915915916,550.7930636823195
662.4254254254254,550.8129092232208
664.2592592592592,550.7928109710571
666.0930930930931,550.389637158297
667.9269269269269,550.0400468971385
669.7607607607608,549.61764507504
671.5945945945946,549.596579249545
673.4284284284284,549.6089855176563
675.2622622622623,549.2954106805479
677.0960960960961,549.0807601116451
678.9299299299299,548.9030890031617
680.7637637637638,549.3038447075064
682.5975975975975,549.2992884479294
684.4314314314314,549.7181032414378
686.2652652652653,549.7050570019776
688.099099099099,549.7214524312944
689.932932932933,549.7760871734929
691.7667667667668,549.8085847733752
693.6006006006006,549.9963121423075
695.4344344344345,549.888373291631
697.2682682682682,549.789180137854
699.1021021021021,549.6770622193241
700.935935935936,549.5490207284862
702.7697697697697,549.3830333829768
704.6036036036036,549.5320909354936
706.4374374374374,549.3515033808006
708.2712712712712,549.2277745943909
710.1051051051052,549.2930419116126
711.9389389389389,549.1932045287417
713.7727727727728,548.8841833609199
715.6066066066066,548.6258757575357
717.4404404404404,548.7464121475193
719.2742742742743,548.5922059128353
721.1081081081081,548.7746902909288
722.9419419419419,548.6680604134143
724.7757757757757,548.3166962404229
726.6096096096096,548.3077230010259
728.4434434434434,548.4034000824909
730.2772772772773,548.5597404319329
732.1111111111111,548.5981243243638
733.944944944945,548.6535087192474
735.7787787787788,548.5001155297332
737.6126126126126,548.6219857043337
739.4464464464464,548.7866202785569
741.2802802802803,548.9578450269095
743.114114114114,549.1407195321115
744.947947947948,549.0813211555909
746.7817817817818,549.2848781896757
748.6156156156155,549.3612786146084
750.4494494494495,549.7750745810617
752.2832832832833,550.216170528494
754.1171171171171,550.4366998760302
755.950950950951,550.5293523260362
757.7847847847847,551.3127642499859
759.6186186186186,551.8694895475548
761.4524524524525,552.7127997497716
763.2862862862862,553.4909018386853
765.1201201201202,553.9353168940243
766.9539539539539,554.6184077582149
768.7877877877878,555.5199263869529
770.6216216216217,556.1031202394433
772.4554554554554,556.5343695934865
774.2892892892893,557.1184611046775
776.1231231231232,557.625598586114
777.9569569569569,557.9606608432224
779.7907907907908,558.5345112966329
781.6246246246246,559.0455648523902
783.4584584584584,559.5179876794241
785.2922922922924,559.8943203572824
787.1261261261261,560.4015864819887
788.95995995996,560.7782526013567
790.7937937937938,561.0571786408343
792.6276276276276,561.3044349871627
794.4614614614615,561.5614332540108
796.2952952952953,561.761431648271
798.1291291291291,561.947947909087
799.9629629629629,562.441882746583
801.7967967967968,562.7117584829107
803.6306306306305,563.0331111439452
805.4644644644645,563.721691722516
807.2982982982983,564.440694975183
809.1321321321321,564.8448462492391
810.965965965966,565.4516309909599
812.7997997997998,565.8066426572587
814.6336336336336,566.3082855013873
816.4674674674675,567.0521760158924
818.3013013013012,567.7624977974505
820.1351351351351,567.9468692543392
821.968968968969,568.5479536894593
823.8028028028027,569.2204759889981
825.6366366366367,570.0708846388848
827.4704704704704,570.8006216987768
829.3043043043043,571.6479512378852
831.1381381381382,572.276270646793
832.9719719719719,573.1214760585135
834.8058058058058,574.0230473378615
836.6396396396397,575.1635527647394
838.4734734734735,576.0412552862119
840.3073073073073,576.9342535259184
842.1411411411411,577.8347077222973
843.974974974975,578.7415459038267
845.8088088088087,579.6078329505078
847.6426426426426,580.4633813953263
849.4764764764765,581.3132215249803
851.3103103103103,582.1617256386129
853.1441441441441,583.0110775919655
854.977977977978,583.812745510368
856.8118118118118,584.5958300944836
858.6456456456457,585.4194201099855
860.4794794794794,586.2038360347959
862.3133133133133,586.9771287424398
864.1471471471472,587.7239173738251
865.9809809809809,588.4975816490054
867.8148148148148,589.2151598481213
869.6486486486486,589.8807362361013
871.4824824824825,590.759683781767
873.3163163163163,591.5079888654988
875.1501501501501,592.4698100006598
876.983983983984,593.1067746384324
878.8178178178179,593.9515603386429
880.6516516516516,594.8785063491734
882.4854854854855,595.9911369195673
884.3193193193193,597.0571441006566
886.1531531531532,597.9619834599242
887.986986986987,598.6453407834794
889.8208208208208,599.5793063338152
891.6546546546547,600.5297409183063
893.4884884884884,601.499392372665
895.3223223223223,602.4091041953388
897.1561561561562,603.3349128073003
898.98998998999,604.2595342232028
900.8238238238238,605.201674331142
902.6576576576576,606.157789150939
904.4914914914915,607.0975341581451
906.3253253253254,608.3285926149414
908.1591591591591,609.2800002173115
909.992992992993,610.2964013038614
911.8268268268268,611.2649663321174
913.6606606606606,612.2289932461357
915.4944944944945,613.2062596398687
917.3283283283283,614.1500589924304
919.1621621621622,615.3221087931399
920.9959959959959,616.2891516887713
922.8298298298298,617.1899813155161
924.6636636636637,618.3161968951403
926.4974974974975,619.2147077224522
928.3313313313313,619.7416564437179
930.1651651651651,620.8694446470419
931.998998998999,621.3696351874243
933.8328328328329,622.169273392853
935.6666666666666,623.209547546503
937.5005005005005,623.6704884563363
939.3343343343344,624.8142315975031
941.1681681681681,625.8398138034828
943.002002002002,626.6534127434159
944.8358358358358,627.7916873830716
946.6696696696697,629.072483591686
948.5035035035035,630.5213825676224
950.3373373373373,631.7019371552138
952.1711711711712,633.185679354049
954.005005005005,634.6863240344853
955.8388388388388,636.0826397958331
957.6726726726727,637.4180171329598
959.5065065065065,639.0833750797688
961.3403403403403,640.7382989339467
963.1741741741741,642.3904762480005
965.008008008008,643.9960051428653
966.8418418418419,645.5151647747686
968.6756756756756,647.0259247096957
970.5095095095095,648.2117962419886
972.3433433433433,649.2526224040384
974.1771771771772,650.2933079719458
976.011011011011,651.2289654587777
977.8448448448448,652.2744635770633
979.6786786786787,653.5533626564031
981.5125125125126,654.2387551195553
983.3463463463463,655.4764684366215
985.1801801801802,656.748649355235
987.014014014014,657.4910831228113
988.8478478478478,658.5673968728723
990.6816816816817,659.9354378246289
992.5155155155155,661.0703456207262
994.3493493493494,662.6920435759181
996.1831831831831,664.108003077812
998.017017017017,665.6791282600936
999.8508508508509,667.0057792012522
1001.6846846846847,668.806243081004
1003.5185185185185,670.3947987445493
1005.3523523523523,671.9898579955714
1007.1861861861862,673.8896111034791
1009.02002002002,675.7807884468838
1010.8538538538538,677.432920595984
1012.6876876876877,679.0224874462176
1014.5215215215215,680.5466285813914
1016.3553553553553,681.9365145423244
1018.1891891891892,683.5490554366056
1020.023023023023,684.8331010397532
1021.8568568568569,685.7983281855575
1023.6906906906906,687.1695971045293
1025.5245245245246,688.5857996079409
1027.3583583583584,689.9317716158423
1029.1921921921921,691.1183701240654
1031.026026026026,692.2095921270961
1032.8598598598599,693.3466191242044
1034.6936936936936,694.5831035223619
1036.5275275275276,695.5142391977718
1038.3613613613613,696.5529439356324
1040.195195195195,698.0232157312249
1042.029029029029,699.193904482017
1043.8628628628628,700.5933108724771
1045.6966966966966,701.9998127555023
1047.5305305305305,703.4285928694269
1049.3643643643645,704.8413874322092
1051.198198198198,706.2793844868683
1053.032032032032,707.7530741193201
1054.865865865866,709.4351648776322
1056.6996996996995,710.741032280936
1058.5335335335335,712.1269218875493
1060.3673673673675,713.4831181312793
1062.2012012012012,714.6034960116541
1064.035035035035,715.871953473676
1065.868868868869,717.1504996746768
1067.7027027027027,718.5074120654161
1069.5365365365365,719.608462786265
1071.3703703703704,720.7154265889124
1073.2042042042042,722.1138963089394
1075.038038038038,723.2813787668631
1076.871871871872,724.3618260180316
1078.7057057057057,725.4229930923597
1080.5395395395394,726.4893985061252
1082.3733733733734,727.6164972595031
1084.2072072072071,728.5059290293678
1086.041041041041,729.459144495587
1087.8748748748749,730.4759396469218
1089.7087087087089,731.5577172838201
1091.5425425425424,732.5378150862877
1093.3763763763764,733.7079269827797
1095.2102102102103,734.8487234055962
1097.044044044044,736.004030669712
1098.8778778778778,737.1236358050262
1100.7117117117118,738.3689276507409
1102.5455455455456,739.4793500280282
1104.3793793793793,740.7451483088006
1106.2132132132133,741.7860198564281
1108.047047047047,743.1070500812731
1109.8808808808808,744.5099014444706
1111.7147147147148,745.8745080061167
1113.5485485485485,747.412302419866
1115.3823823823823,749.1169299829456
1117.2162162162163,750.6765719057264
1119.05005005005,752.2094526841095
1120.8838838838838,753.6744262414655
1122.7177177177177,755.0859896622618
1124.5515515515515,756.4464562178312
1126.3853853853852,757.7685969373192
1128.2192192192192,758.9528937133349
1130.0530530530532,760.4005409638111
1131.8868868868867,761.4562869127292
1133.7207207207207,762.1628776781411
1135.5545545545547,763.0389166208099
1137.3883883883884,763.8000394201421
1139.2222222222222,764.5040375423234
1141.0560560560561,765.1385800079064
1142.88988988989,766.0408401234797
1144.7237237237237,766.6447436476917
1146.5575575575576,767.2648186926505
1148.3913913913914,767.7038948311724
1150.2252252252251,768.2246519518889
1152.059059059059,769.1423139529533
1153.8928928928929,769.6319360976563
1155.7267267267266,770.4845931718988
1157.5605605605606,771.4136722500043
1159.3943943943943,772.1000417432255
1161.228228228228,772.950147711426
1163.062062062062,774.0411497082582
1164.895895895896,775.1611891303478
1166.7297297297296,776.2005124658956
1168.5635635635635,777.2485890486582
1170.3973973973975,778.290073636125
1172.231231231231,779.0270886859903
1174.065065065065,779.9992615586787
